Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-24 03:15	7496	4056	0	250	2253	3561	944	-102	0	335	533	1910
2024-05-24 03:20	7486	4056	0	250	2300	3585	793	-102	0	336	533	1913
2024-05-24 03:25	7406	4052	0	249	2310	3535	902	-102	0	325	533	1914
2024-05-24 03:30	7382	4053	0	249	2259	3463	858	-102	0	316	533	1881
2024-05-24 03:35	7314	4056	0	249	2265	3532	1090	-102	0	314	533	1911
2024-05-24 03:40	7234	4055	0	249	2280	3613	1120	-102	0	308	533	1913
2024-05-24 03:45	7205	4051	0	249	2255	3561	1065	-102	0	292	533	1914
2024-05-24 03:50	7153	4054	0	249	2265	3592	1060	-102	0	300	533	1883
2024-05-24 03:55	7096	4057	0	249	2281	3625	1169	-102	0	290	533	1921
2024-05-24 04:00	7035	4054	0	249	2296	3635	1207	-102	0	267	533	1917
2024-05-24 04:05	7018	4056	0	249	2244	3722	1100	-102	0	254	515	1918
2024-05-24 04:10	6969	4056	0	249	2241	3798	1054	-102	0	253	515	1882
2024-05-24 04:15	6942	4054	0	247	2225	3814	1096	-102	0	249	515	1914
2024-05-24 04:20	6879	4055	0	247	2256	4041	895	-102	0	246	515	1911
2024-05-24 04:25	6829	4056	0	249	2248	4047	1017	-102	0	242	515	1877
2024-05-24 04:30	6773	4052	0	248	2281	4024	1158	-102	0	237	515	1918
2024-05-24 04:35	6736	4058	0	249	2318	4136	1024	-102	0	226	515	1915
2024-05-24 04:40	6687	4052	0	248	2300	4142	1060	-102	0	215	515	1918
2024-05-24 04:45	6614	4052	0	248	2307	4175	1155	-102	0	215	515	1877
2024-05-24 04:50	6615	4053	0	247	2345	4209	1214	-102	0	216	515	1911
2024-05-24 04:55	6558	4054	0	247	2385	4237	1106	-102	0	215	515	1873
2024-05-24 05:00	6504	4052	0	249	2245	4093	1428	-102	0	214	515	1915
2024-05-24 05:05	6444	4056	0	247	2185	4282	1646	-102	0	215	518	1911
